min;id;players;totalRemainingTokens;totalUsedTokens;totalIdeas;totalItems;totalComments;totalIdeasWithBets;playerId;playerRemainingTokens;playerUsedTokens;playerIdeas;playerItems;playerComments;playerVotes;playerTimeSinceAction;playerBestIdeaScore;playerItemUsage;playerIdeaUsage;playerCommentUsage;playercr�ativit�;playerpertinence;playerpersuasion;playeradaptation;rankcr�ativit�;rankpertinence;rankpersuasion;rankadaptation;itemCreationTime;ideaId;ideaOwnerId;ideaCreationTime;ideaDepthMin;ideaDepthMax;ideaItems;ideaComments;PositiveComments;NegativeComments;PositiveProportion;NegativeProportion;NulProportion;ideaVotes;ideaTokens;ideaTokensMax;ideaShortLength;ideaLongLength;ideaParents;ideaParentItems;ideaParentItemsMin;ideaParentItemsMax;ideaParentComments;ideaParentCommentsMin;ideaParentCommentsMax;ideaParentVotes;ideaParentVotesMin;ideaParentVotesMax;ideaParentCreationTimeMin;ideaParentCreationTimeMax;ideaParentItemMean;ideaParentCommentsMean;ideaParentVotesMean;ideaParentCreationTimeMean;ideaHasSameOwnerParent;ideaSameOwnerParents;childrens;commentCreationTime;commentSize;commentRank;voteTokens;voteValence;voteInceptions;voteOutceptions;abstract;ideaGraph
3;1;32;312;8;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;1;0;0;0.0;0.0;1.0;1;1;1;15;0;0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;8;0;0;0;0;0;0;0;on imprimer les emploi du temps des le 1er jour (by 401charlotte) (id=48): """" +1 by 401charlotte (id=35) scores{ cr�ativit� 0.0 pertinence 8.0 persuasion 0.0 adaptation 0.0 ;[[1]:[1:0:1:3]]
3;34;32;312;8;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;34;2;186;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;19;0;2;0;0;0;1;1;1;1;1;1;1151022631;1151022631;0.0;0.5;0.5;5.755113155E8;false;0;2;0;0;0;0;0;0;0;on imprimer les emploi du temps des le 1er jour (by 401charlotte) (id=48): """" +1 by 401charlotte (id=35) scores{ cr�ativit� 0.0 pertinence 8.0 persuasion 0.0 adaptation 0.0 ;[[34]]
3;36;32;312;8;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;36;2;198;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;24;0;2;0;0;0;1;1;1;1;1;1;1151022631;1151022631;0.0;0.5;0.5;5.755113155E8;false;0;0;0;0;0;0;0;0;0;on imprimer les emploi du temps des le 1er jour (by 401charlotte) (id=48): """" +1 by 401charlotte (id=35) scores{ cr�ativit� 0.0 pertinence 8.0 persuasion 0.0 adaptation 0.0 ;[[36]:[36:1:1:3]:[36:2:1:3]]
3;37;32;312;8;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;37;2;209;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;23;0;2;0;0;0;1;1;1;1;1;1;1151022631;1151022631;0.0;0.5;0.5;5.755113155E8;false;0;0;0;0;0;0;0;0;0;on imprimer les emploi du temps des le 1er jour (by 401charlotte) (id=48): """" +1 by 401charlotte (id=35) scores{ cr�ativit� 0.0 pertinence 8.0 persuasion 0.0 adaptation 0.0 ;[[37]:[37:2:1:3]:[37:34:1:3]]
3;38;32;312;8;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;38;2;217;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;26;0;2;0;0;0;1;1;1;1;1;1;1151022631;1151022631;0.0;0.5;0.5;5.755113155E8;false;0;0;0;0;0;0;0;0;0;on imprimer les emploi du temps des le 1er jour (by 401charlotte) (id=48): """" +1 by 401charlotte (id=35) scores{ cr�ativit� 0.0 pertinence 8.0 persuasion 0.0 adaptation 0.0 ;[[38]:[38:2:1:3]:[38:37:1:3]]
3;39;32;312;8;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;39;13;220;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;6;13;2;0;0;0;1;1;1;1;1;1;1151022631;1151022631;0.0;0.5;0.5;5.755113155E8;false;0;0;0;0;0;0;0;0;0;on imprimer les emploi du temps des le 1er jour (by 401charlotte) (id=48): """" +1 by 401charlotte (id=35) scores{ cr�ativit� 0.0 pertinence 8.0 persuasion 0.0 adaptation 0.0 ;[[39]:[39:13:1:3]:[39:37:1:3]]
3;40;32;312;8;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;40;19;221;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;29;0;2;0;0;0;1;1;1;1;1;1;1151022631;1151022631;0.0;0.5;0.5;5.755113155E8;false;0;0;0;0;0;0;0;0;0;on imprimer les emploi du temps des le 1er jour (by 401charlotte) (id=48): """" +1 by 401charlotte (id=35) scores{ cr�ativit� 0.0 pertinence 8.0 persuasion 0.0 adaptation 0.0 ;[[40]:[40:19:1:3]:[40:1:1:3]]
3;41;32;312;8;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;41;7;221;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;26;0;2;0;0;0;1;1;1;1;1;1;1151022631;1151022631;0.0;0.5;0.5;5.755113155E8;false;0;0;0;0;0;0;0;0;0;on imprimer les emploi du temps des le 1er jour (by 401charlotte) (id=48): """" +1 by 401charlotte (id=35) scores{ cr�ativit� 0.0 pertinence 8.0 persuasion 0.0 adaptation 0.0 ;[[41]:[41:7:1:3]:[41:1:1:3]]
3;42;32;312;8;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;42;20;222;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;22;0;2;0;0;0;1;1;1;1;1;1;1151022631;1151022631;0.0;0.5;0.5;5.755113155E8;false;0;0;0;0;0;0;0;0;0;on imprimer les emploi du temps des le 1er jour (by 401charlotte) (id=48): """" +1 by 401charlotte (id=35) scores{ cr�ativit� 0.0 pertinence 8.0 persuasion 0.0 adaptation 0.0 ;[[42]:[42:36:1:3]:[42:20:1:3]]
3;43;32;312;8;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;43;14;224;2;2;0;4;0;0;0.0;0.0;1.0;4;7;7;44;0;2;0;0;0;0;0;0;0;0;0;1151209117;1151209117;0.0;0.0;0.0;5.756045585E8;false;0;0;0;0;0;0;0;0;0;on imprimer les emploi du temps des le 1er jour (by 401charlotte) (id=48): """" +1 by 401charlotte (id=35) scores{ cr�ativit� 0.0 pertinence 8.0 persuasion 0.0 adaptation 0.0 ;[[43]:[43:14:1:3]:[43:42:1:3]]
3;45;32;312;8;10;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;45;21;234;2;2;0;0;0;0;0.0;0.0;0.0;0;0;0;6;21;2;0;0;0;0;0;0;0;0;0;1151209117;1151209117;0.0;0.0;0.0;5.756045585E8;false;0;0;0;0;0;0;0;0;0;on imprimer les emploi du temps des le 1er jour (by 401charlotte) (id=48): """" +1 by 401charlotte (id=35) scores{ cr�ativit� 0.0 pertinence 8.0 persuasion 0.0 adaptation 0.0 ;[[45]:[45:21:1:3]:[45:43:1:3]]
4;1;34;267;73;15;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;1;0;0;0;0;0;1;0;0;0.0;0.0;1.0;1;1;1;15;0;0;0;-1;0;0;-1;0;0;-1;0;-1;0;0.0;0.0;0.0;0.0;false;0;11;0;0;0;0;0;0;0;on mettre en place un espace zen (by 401amaury) (id=84): """" +2 by 401amaury (id=13) scores{ cr�ativit� 0.0 pertinence 56.0 persuasion 0.0 adaptation 0.0 ;[]
4;34;34;267;73;15;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;34;2;186;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;19;0;2;0;0;0;1;1;1;1;1;1;1151022631;1151022631;0.0;0.5;0.5;5.755113155E8;false;0;3;0;0;0;0;0;0;0;on mettre en place un espace zen (by 401amaury) (id=84): """" +2 by 401amaury (id=13) scores{ cr�ativit� 0.0 pertinence 56.0 persuasion 0.0 adaptation 0.0 ;[]
4;36;34;267;73;15;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;36;2;198;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;24;0;2;0;0;0;1;1;1;1;1;1;1151022631;1151022631;0.0;0.5;0.5;5.755113155E8;false;0;0;0;0;0;0;0;0;0;on mettre en place un espace zen (by 401amaury) (id=84): """" +2 by 401amaury (id=13) scores{ cr�ativit� 0.0 pertinence 56.0 persuasion 0.0 adaptation 0.0 ;[]
4;37;34;267;73;15;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;37;2;209;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;23;0;2;0;0;0;1;1;1;1;1;1;1151022631;1151022631;0.0;0.5;0.5;5.755113155E8;false;0;0;0;0;0;0;0;0;0;on mettre en place un espace zen (by 401amaury) (id=84): """" +2 by 401amaury (id=13) scores{ cr�ativit� 0.0 pertinence 56.0 persuasion 0.0 adaptation 0.0 ;[]
4;38;34;267;73;15;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;38;2;217;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;26;0;2;0;0;0;1;1;1;1;1;1;1151022631;1151022631;0.0;0.5;0.5;5.755113155E8;false;0;1;0;0;0;0;0;0;0;on mettre en place un espace zen (by 401amaury) (id=84): """" +2 by 401amaury (id=13) scores{ cr�ativit� 0.0 pertinence 56.0 persuasion 0.0 adaptation 0.0 ;[]
4;39;34;267;73;15;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;39;13;220;1;1;0;0;0;0;0.0;0.0;0.0;0;0;0;6;13;2;0;0;0;1;1;1;1;1;1;1151022631;1151022631;0.0;0.5;0.5;5.755113155E8;false;0;0;0;0;0;0;0;0;0;on mettre en place un espace zen (by 401amaury) (id=84): """" +2 by 401amaury (id=13) scores{ cr�ativit� 0.0 pertinence 56.0 persuasion 0.0 adaptation 0.0 ;[]
4;40;34;267;73;15;0;34;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0.0;0.0;0.0;0.0;0;40;19;221;1;1;0;1;0;0;0.0;0.0;1.0;1;2;2;29;0;2;0;0;0;1;1;1;1;1;1;1151022631;1151022631;0.0;0.5;0.5;5.755113155E8;false;0;0;0;0;0;0;0;0;0;on mettre en place un espace zen (by 401amaury) (id=84): """" +2 by 401amaury (id=13) scores{ cr�ativit� 0.0 pertinence 56.0 persuasion 0.0 adaptation 0.0 ;[]
